Curah Hujan (mm),Debit Aliran Air (L/menit),Kemiringan Tanah (derajat),Kategori,Klasifikasi Curah Hujan,Klasifikasi Debit Aliran,Klasifikasi Kemiringan Tanah
2296.140197522145,58.927888309664056,61.15702195792082,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2118.727718954244,68.15751188708651,51.65422331860428,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2317.983179393976,53.20460932640287,41.83348918679502,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2414.26299451467,63.22235023016199,71.96007639073616,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2064.1474963487844,58.805275056589835,21.276598121895496,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2692.4721193700198,51.52973538060571,87.38702416295857,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Tinggi
2566.601454206575,63.92926289305001,78.88984064526294,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2265.3894909394453,54.94797511078308,59.41255860553946,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2523.2480534666997,50.79231045159035,13.432495232204653,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Rendah
2093.9405107584416,51.19888596499146,66.06845195581901,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2575.9464955561793,51.221570741335746,83.06274727083847,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Tinggi
2929.296197576214,68.15465914970079,51.96616539829008,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2318.5689524513236,64.79767835658203,38.33798574618102,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2667.4103799636814,67.9612471442747,19.62218759835757,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Rendah
2131.797862404392,63.451646225930425,70.39208833100545,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2716.3272041185655,60.578798580617665,80.8017480969445,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Tinggi
2289.406092947201,56.088927286947566,18.020139526067886,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Rendah
2183.191362007117,69.95924502657347,70.71876438018735,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2586.512934810083,57.243781178787785,11.3648389007278,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Rendah
2020.1075461874937,59.41297898427819,87.36439344617756,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Tinggi
2828.940029217363,57.564903498469235,59.204641650807694,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2004.6954761925472,69.59053858670917,54.19512471933065,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2677.81653679623,53.49316770790011,33.675986687114225,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2270.007973192165,56.5597600181616,84.34333372558268,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Tinggi
2735.194022122595,63.60697332030003,31.27245018694328,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2962.1885451174385,51.26415236677261,76.2517290573356,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2248.753143519958,62.144987480230824,88.80869434697055,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Tinggi
2576.157334417837,59.55293005752832,72.67173164118446,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2592.041931271839,55.67999953524202,51.51919363091454,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2572.2519057908735,54.76826561848116,15.285941108133754,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Rendah
2223.0816326406184,60.290254865975136,47.79310313368584,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2952.749011516985,57.358551610740825,45.060475757736285,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2447.1253786176276,59.130397825253105,26.22368329495962,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2846.408672471128,56.7495476352848,43.88701093714435,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2699.4792753175043,69.40987387191956,38.620630726427095,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2297.4369508551335,52.66878863491208,23.094740892131878,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2813.797819702477,51.93607906356748,45.30993146659889,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2396.5057408469847,56.86783457581832,31.023996505959126,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2881.1031971111615,61.820538017409824,51.76499365458115,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2581.2728726358587,63.183529437000566,12.812804777295534,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Rendah
2881.7353618548527,57.94513494336084,82.49851358298274,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Tinggi
2692.531590077766,69.98555987844342,75.30914444158849,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2725.2542798196405,57.03785992386085,54.20650660084036,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2501.3243819267022,64.42813335919905,78.14468662057945,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2956.083634723224,62.751653890615856,86.99160590486403,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Tinggi
2643.9901992296373,66.26107726494922,18.841783524212843,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Rendah
2423.8550485581795,69.52451326907641,60.4665446727843,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2606.3932141279242,67.79587312891081,89.83952007485269,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Tinggi
2019.1931983093336,65.29123948715417,89.03113354668209,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Tinggi
2301.5748166745493,63.964969556365816,58.26583938325957,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2660.1735374926848,56.709963393517995,20.241669636065332,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2290.077607210444,52.953711564134146,56.65542647924226,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2618.0154289988413,51.25272006119619,10.165170845953737,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Rendah
2428.768700945766,54.838034084029694,25.91290677334877,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2135.47406422245,58.64562962362597,86.4898527647968,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Tinggi
2298.282325956031,60.43992547259965,36.435245808227506,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2569.9649107012647,65.46167108109744,61.07120846215588,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2590.8727612481734,69.17481846113186,32.468759570579415,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2574.3252488495787,52.34640960769622,85.82575096892717,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Tinggi
2653.200819857134,52.14008280387583,68.28469839595894,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2652.103270001689,61.79389446027102,36.37209260651301,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2431.418435433974,64.90796147894586,73.34091369442967,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2896.546595851063,66.9630076069397,18.65324195810701,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Rendah
2367.5618700478967,68.71664160433576,41.38551520523676,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2435.864925265627,69.66852484521284,27.697450218527386,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2891.9233550156723,57.99603384449052,64.6981157820837,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2806.193989046086,57.60670367055146,18.19570254175443,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Rendah
2703.888583540366,52.956173533945446,41.762066582613926,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2100.226887312301,63.698688773671186,32.131978416735166,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2919.4826137446735,63.13523916881674,50.507433545904334,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2714.2412995491113,67.24125191702414,37.991814440310314,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2998.8470065678666,51.94515989575281,66.51284621336089,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2149.448304657994,59.95553815650683,11.966161944557285,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Rendah
2868.1260573682143,61.62163859344126,60.7189537044726,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2162.4929346763747,54.831140800798366,28.4457031755056,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2615.5595642838443,53.38050812258322,31.496722300547944,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2123.8199828494417,67.19161672839243,74.02044828668188,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2848.0082293222345,51.17069844471118,86.44547151843366,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Tinggi
2807.318958725011,59.412418078361455,35.32401680216693,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2569.1007386145934,52.31668002601771,76.14442162952605,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2407.1832972259995,59.14117522662735,18.319267037698648,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Rendah
2069.166995455138,69.59924652684619,60.718532240590655,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2697.428773144564,58.47412706910946,70.0825839627935,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2453.542682678069,67.14249835009134,22.47823424275652,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2722.055599470348,52.34631128366388,44.08019101356484,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2866.382325928629,55.425041535237284,81.41657313991853,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Tinggi
2975.5215050028855,58.075854813346695,18.286277075869776,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Rendah
2855.803342392611,57.996242800186614,11.447708656118012,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Rendah
2011.7140841850019,63.427669573403065,57.2468303238347,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2359.978064478364,56.894362547510156,44.84252324247468,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2729.990562424058,64.27533736820033,73.89513991071222,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2171.6296772614405,62.78373798450785,83.87644305632853,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Tinggi
2521.0366062041294,57.98322290509546,33.93229156350529,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2054.3379883392536,58.63520255308639,41.07232937352842,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2199.9965248964,62.29055399620641,48.90176690634519,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2018.521794460614,51.400843802892894,57.05211683482395,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2793.697703357421,66.4481347671138,88.70830637452934,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Tinggi
2223.92468806038,63.06842322227274,65.78642006640412,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2345.351680696903,64.5268492883567,41.1638805876455,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2928.081293465591,60.73846002164781,31.10141491603697,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2704.4144019235328,52.209542219834894,85.57005747376992,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Tinggi
2031.838929531308,58.100712265938995,20.84387464868051,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2164.694156497913,58.10747165697112,67.62126820038064,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2621.4784014997635,56.420859800864335,84.03160202339525,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Tinggi
2577.2285886041677,50.59900649809499,63.17324692275509,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2237.8928213745085,64.74508485192955,43.84435521328969,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2934.2139979247936,52.195689161250016,25.91927519403872,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2613.965955965896,62.1261626609017,39.39802578015418,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2535.6328030249583,64.06434992934432,66.54974475360976,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2589.909976354571,62.695726458673896,61.96273793402375,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2730.1220295167695,69.1828450395595,84.23809332786863,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Tinggi
2311.944995479602,52.06596310170277,79.34887309275,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2398.221062216092,67.34334318210398,75.29206018130947,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2209.8437489751223,50.58380469697826,82.91607002806099,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Tinggi
2186.1930058803364,60.69833709854168,32.10697221896395,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2944.3723899839333,58.08487235878518,39.56188321117196,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2739.5507950492874,60.48367720787516,40.391512302881395,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2490.4588086175672,57.301997541200194,54.83604709678242,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2227.414627973323,53.81133829880136,63.45745836342168,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2254.3564817703927,50.382457948973794,32.937334643231544,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2058.0291603238757,60.362996275823484,11.556997384744028,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Rendah
2434.416625558121,66.85553725369684,41.937790692632746,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2311.7958819941027,57.464319114895886,34.68223676435204,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2696.3434888154598,54.4572763602996,85.37477752144383,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Tinggi
2377.751839292481,51.61064006943688,81.06120324352348,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Tinggi
2179.603677559635,51.70621846237407,78.82485426747357,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2024.6787283913313,54.42792892585545,62.239980875619445,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2067.2496314632485,52.000281218431105,37.54313317591511,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2679.3927734985673,55.30079396728964,53.90794139194438,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2453.696844556045,51.32298924233909,75.21800325730982,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2536.579211108722,51.31209734419851,17.888829497824883,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Rendah
2896.671293040342,67.12552359245564,74.08599042042438,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2990.3389473967045,53.242405214176664,13.294383306249733,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Rendah
2216.896984398474,61.193648116468964,75.31368249714846,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2663.078203100101,65.46911088898061,74.60510433278988,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2263.3223767371505,59.12819130678133,14.080584706300465,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Rendah
2020.6509994657288,53.067377557186916,60.17285691694866,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2758.3786538361414,53.99192284240229,50.19624594503178,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2320.017150822468,58.65968412562361,23.585560253737174,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2383.463894171898,60.56468178357072,21.87031501419005,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2588.317113553606,56.9888058409707,71.86073008536185,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2831.0484552361904,65.62959200469322,55.41541990694753,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2628.981843591149,65.02043297712797,88.63993079332259,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Tinggi
2872.6506554473954,68.54423614746236,88.57982218306753,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Tinggi
2273.542034815636,50.57905098053921,89.41335947714131,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Tinggi
2798.0468339125637,67.91382582420407,19.489241469261273,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Rendah
2185.6359443059523,57.85137576924302,85.06049095711698,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Tinggi
2952.7916569719446,67.56744990759988,29.565568721645022,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2687.4882763878154,63.81569552313059,46.65698078068896,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2215.5076771135587,69.74697514147937,70.59252446573808,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2947.3705904889243,65.18564903433337,26.289674566178558,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2730.855806770158,57.29089251993573,55.304928444346395,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2253.9416425950258,60.02126345669504,24.865339858079658,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2213.311977367482,57.527783103887025,18.378888534503464,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Rendah
2518.2007139306634,57.29823672042476,19.324688994367882,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Rendah
2025.6627180545315,55.2180899876212,38.611122787857504,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2207.470075441109,59.91940590746939,10.372386946974679,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Rendah
2424.685468751506,63.63479890138723,43.988313696135165,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2374.1699803342253,55.54680542610487,63.13576840649192,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2463.5754243648107,60.4875962215444,42.1350548003191,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2277.6287062947317,52.34760588341114,16.86356804158681,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Rendah
2586.784346458169,53.196905737083824,15.015108961891244,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Rendah
2863.8556059232315,50.93612709424377,32.24932102118893,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2117.531855962033,69.41462885541266,23.54501524348806,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2517.379107154114,50.07720703020522,87.20759785743755,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Tinggi
2132.0681063451534,53.571599361153126,22.098417997926802,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2716.8596811925936,62.25733506233985,74.43699499239972,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2396.059702807294,51.627391977066104,56.88863533929158,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2565.421311858509,67.63793006193664,55.54295359874355,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2183.2798362140784,64.39240315684576,50.96645727390276,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2144.847759343377,69.32779942875787,87.74104608911608,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Tinggi
2488.0562806489547,60.1527109448153,39.107582007331025,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
